(-2.15101115339+8.52930831701j) (-2.15101115339-8.52930831701j) (1.03215955122+0j) (-1.27250535639+0j) 
(-2.7802387619+9.04763288926j) (-2.7802387619-9.04763288926j) (-0.448831421733+0j) (0.11505269915+0j) 
(-2.88445749022+9.10865214864j) (-2.88445749022-9.10865214864j) (-0.087161107058+0j) (-0.261379048634+0j) 
(-2.86841797071+9.0819902424j) (-2.86841797071-9.0819902424j) (-0.367699591587+0j) (0.0187732020828+0j) 
(-2.94145915733+9.11647611731j) (-2.94145915733-9.11647611731j) (-0.180948361243+0.0319229412117j) (-0.180948361243-0.0319229412117j) 
(-2.93925604589+9.11716230613j) (-2.93925604589-9.11716230613j) (-0.180292280818+0.0363270835372j) (-0.180292280818-0.0363270835372j) 
(-2.95532877371+9.1205245214j) (-2.95532877371-9.1205245214j) (-0.182069256334+0.0535038546144j) (-0.182069256334-0.0535038546144j) 
(-1.88530016515+8.62272179789j) (-1.88530016515-8.62272179789j) (1.43446415895+0j) (-1.52610073423+0j) 
(1.73681591944+0j) (-1.81157465006+0j) (-1.73944391612+8.44009296594j) (-1.73944391612-8.44009296594j) 
(-3.58031896015+7.96148193418j) (-3.58031896015-7.96148193418j) (-3.88390002936+0j) (1.3702971336+0j) 
