(-2.34414076473+8.71687918225j) (-2.34414076473-8.71687918225j) (-0.987034171034+0j) (0.71515583182+0j) 
(-2.34458103965+8.71724921689j) (-2.34458103965-8.71724921689j) (-0.986761297704+0j) (0.714832262858+0j) 
(-2.34394197763+8.7167438467j) (-2.34394197763-8.7167438467j) (-0.987414499453+0j) (0.715557133122+0j) 
(-2.34442251445+8.71645533689j) (-2.34442251445-8.71645533689j) (-0.98728600578+0j) (0.715309758003+0j) 
(-2.34416779512+8.71623957924j) (-2.34416779512-8.71623957924j) (-0.987593198765+0j) (0.715704777862+0j) 
(-2.34393536302+8.71657836574j) (-2.34393536302-8.71657836574j) (-0.987294085748+0j) (0.715418472496+0j) 
(-2.34343799204+8.71691549772j) (-2.34343799204-8.71691549772j) (-0.987097063433+0j) (0.715341736508+0j) 
(-2.34373943168+8.7170636968j) (-2.34373943168-8.7170636968j) (-0.986937355716+0j) (0.715103510757+0j) 
(-2.34473650991+8.71744815327j) (-2.34473650991-8.71744815327j) (-0.986561876157+0j) (0.714575051949+0j) 
(-2.34431441409+8.71677951327j) (-2.34431441409-8.71677951327j) (-0.987114504672+0j) (0.715182988633+0j) 
