(-2.10099551493+8.56010250272j) (-2.10099551493-8.56010250272j) (-1.03131619335+0j) (-0.0407809165632+0j) 
(-2.07900552184+8.51297742234j) (-2.07900552184-8.51297742234j) (-0.941587458332+0j) (-0.0758228662023+0j) 
(-2.08959390986+8.54292502597j) (-2.08959390986-8.54292502597j) (-0.976768455247+0j) (-0.06580513124+0j) 
(-2.09260101264+8.53388800388j) (-2.09260101264-8.53388800388j) (-0.997919595206+0j) (-0.0551284950285+0j) 
(-2.09013891702+8.52569832073j) (-2.09013891702-8.52569832073j) (-0.962826481754+0j) (-0.063686417131+0j) 
(-2.37258287609+8.87437489465j) (-2.37258287609-8.87437489465j) (-2.50881461841+0j) (1.21083800743+0j) 
(-2.3938296302+8.80371928575j) (-2.3938296302-8.80371928575j) (-3.15186208203+0j) (2.03929201335+0j) 
(-42.1494770331+0j) (-3.59713417785+7.53537787914j) (-3.59713417785-7.53537787914j) (0.26386306259+0j) 
(0.0684612313688+82.552551942j) (0.0684612313688-82.552551942j) (-1.23793477325+1.75097226716j) (-1.23793477325-1.75097226716j) 
(-0.104196835451+103.167684357j) (-0.104196835451-103.167684357j) (-0.936474127451+2.27089084739j) (-0.936474127451-2.27089084739j) 
