(-2.09714713874+8.54952010092j) (-2.09714713874-8.54952010092j) (-0.0525113387853+0j) (-1.01999999871+0j) 
(-2.09724092842+8.54967341908j) (-2.09724092842-8.54967341908j) (-0.0524985639541+0j) (-1.02018245448+0j) 
(-2.09725926847+8.54955093382j) (-2.09725926847-8.54955093382j) (-0.0525038519819+0j) (-1.02043363792+0j) 
(-2.09747389626+8.55033907467j) (-2.09747389626-8.55033907467j) (-0.0524696977857+0j) (-1.02090886717+0j) 
(-2.09758351695+8.55016172557j) (-2.09758351695-8.55016172557j) (-0.0524548546186+0j) (-1.02080473905+0j) 
(-2.09739680842+8.55055748001j) (-2.09739680842-8.55055748001j) (-0.0523673618831+0j) (-1.02146768324+0j) 
(-2.09690028864+8.55178829893j) (-2.09690028864-8.55178829893j) (-0.0528443577571+0j) (-1.01918489746+0j) 
(0.423116499953+55.3690487923j) (0.423116499953-55.3690487923j) (-0.0828628231273+0j) (-1.48086306204+0j) 
(-320.148895006+0j) (-2.87083042683+0.832330551855j) (-2.87083042683-0.832330551855j) (0.238492603004+0j) 
(-246.391720382+0j) (-1.92492578178+3.65597277835j) (-1.92492578178-3.65597277835j) (2.91269473868+0j) 
