(-2.09473460797+8.53585334546j) (-2.09473460797-8.53585334546j) (-1.007551996+0j) (-0.0452118745499+0j) 
(-2.09867092023+8.5532568713j) (-2.09867092023-8.5532568713j) (-0.999574696772+0j) (-0.0620328756632+0j) 
(-2.08800094885+8.53974248909j) (-2.08800094885-8.53974248909j) (-0.989217337015+0j) (-0.059290979744+0j) 
(-2.08852997463+8.52636993317j) (-2.08852997463-8.52636993317j) (-0.968640670123+0j) (-0.0804625967608+0j) 
(-2.13936074105+8.32022518698j) (-2.13936074105-8.32022518698j) (-2.00065846804+0j) (1.10917917375+0j) 
(15.3366961261+0j) (-4.13919535705+4.40808706076j) (-4.13919535705-4.40808706076j) (0.0304221801449+0j) 
(-44.1094384851+0j) (-3.23746749979+8.17375892749j) (-3.23746749979-8.17375892749j) (-5.75497730059+0j) 
-272.429686765 -4.79468131242 -1.6343429678 -0.0331395616774 
(-2291.06270722+0j) (-1.03165482094+0j) (0.00996456743185+0.26078170711j) (0.00996456743185-0.26078170711j) 
(-19.8267768986+47.7068233532j) (-19.8267768986-47.7068233532j) (2.34448803344+9.78367433222j) (2.34448803344-9.78367433222j) 
