(-2.09016943504+8.53798931715j) (-2.09016943504-8.53798931715j) (-0.076654937987+0j) (-0.982405817312+0j) 
(-2.08153934678+8.53065875853j) (-2.08153934678-8.53065875853j) (-0.969890675929+0j) (-0.0668390900837+0j) 
(-2.08599559548+8.53044809031j) (-2.08599559548-8.53044809031j) (-0.984401287283+0j) (-0.0666451484872+0j) 
(-2.08578154753+8.54316438509j) (-2.08578154753-8.54316438509j) (-1.00595207701+0j) (-0.0555819549971+0j) 
(-2.08622137078+8.52887623226j) (-2.08622137078-8.52887623226j) (-0.961531728035+0j) (-0.0714407970499+0j) 
(-2.0768606041+8.51280137902j) (-2.0768606041-8.51280137902j) (-0.940269352268+0j) (-0.0779819063359+0j) 
(-2.07561975323+8.52129408369j) (-2.07561975323-8.52129408369j) (-0.9413741338+0j) (-0.0816165721615+0j) 
(-33.3016516952+0j) (-3.65781232521+5.95334478544j) (-3.65781232521-5.95334478544j) (0.427049600465+0j) 
(-44.8015989036+0j) (-3.20556712066+8.17924070403j) (-3.20556712066-8.17924070403j) (-4.39816953472+0j) 
(-44.1715625728+0j) (-3.06130359359+8.234044234j) (-3.06130359359-8.234044234j) (-5.4031502046+0j) 
