(-2.91476714019+9.10686926686j) (-2.91476714019-9.10686926686j) (-0.139763673998+0j) (-0.216186692954+0j) 
(-2.92378130073+9.11616483696j) (-2.92378130073-9.11616483696j) (-0.178674040525+0.0569632192291j) (-0.178674040525-0.0569632192291j) 
(-2.94991719388+9.10267252434j) (-2.94991719388-9.10267252434j) (-0.18233574063+0.0394792466626j) (-0.18233574063-0.0394792466626j) 
(-2.90123985502+9.115010293j) (-2.90123985502-9.115010293j) (-0.0754882450975+0j) (-0.276448354685+0j) 
(-2.94328471164+9.12339272973j) (-2.94328471164-9.12339272973j) (-0.180765371291+0.0856297020269j) (-0.180765371291-0.0856297020269j) 
(-2.92242082038+9.11412023468j) (-2.92242082038-9.11412023468j) (-0.178349925176+0.00673689808844j) (-0.178349925176-0.00673689808844j) 
(-2.94312395643+9.11569321333j) (-2.94312395643-9.11569321333j) (-0.180940437338+0.0889814967048j) (-0.180940437338-0.0889814967048j) 
(-2.94931703891+9.11784056332j) (-2.94931703891-9.11784056332j) (-0.120452391592+0j) (-0.242614427828+0j) 
(-2.97941040968+9.12542685859j) (-2.97941040968-9.12542685859j) (-0.184524893797+0.111382079334j) (-0.184524893797-0.111382079334j) 
(-2.97127941871+9.11485494316j) (-2.97127941871-9.11485494316j) (-0.184286309661+0.0596034918383j) (-0.184286309661-0.0596034918383j) 
