(-2.92458524842+9.11175813011j) (-2.92458524842-9.11175813011j) (-0.15565783601+0j) (-0.201935273+0j) 
(-2.92671422536+9.11186878472j) (-2.92671422536-9.11186878472j) (-0.112268531885+0j) (-0.246084691202+0j) 
(-2.95037916328+9.11306914174j) (-2.95037916328-9.11306914174j) (-0.137332854303+0j) (-0.226571680383+0j) 
(-2.94665382522+9.12497089822j) (-2.94665382522-9.12497089822j) (-0.180579808035+0.0845674232874j) (-0.180579808035-0.0845674232874j) 
(-2.96756969743+9.12471323042j) (-2.96756969743-9.12471323042j) (-0.183467405111+0.0974991447479j) (-0.183467405111-0.0974991447479j) 
(-2.97716968976+9.12361101249j) (-2.97716968976-9.12361101249j) (-0.184651591386+0.0507135384287j) (-0.184651591386-0.0507135384287j) 
(-3.70455891026+8.4813416427j) (-3.70455891026-8.4813416427j) (-0.684652627269+0j) (0.0863810651259+0j) 
(-0.517596042361+9.93966785424j) (-0.517596042361-9.93966785424j) (-1.06685509768+0j) (1.04888053496+0j) 
(-10.264489876+0j) (1.27098393012+0j) (-2.6387980086+3.50423566635j) (-2.6387980086-3.50423566635j) 
(2.86211871247+0j) (-2.96921804534+0j) (-0.347121925935+2.95786122489j) (-0.347121925935-2.95786122489j) 
